drug_1,drug_2,interaction
aciclovir,valaciclovir,0
aciclovir,penciclovir,0
aciclovir,famciclovir,0
aciclovir,idoxuridine,0
aciclovir,trifluridine,0
aciclovir,ganciclovir,0
aciclovir,foscarnet,0
aciclovir,cidofovir,0
valaciclovir,penciclovir,0
valaciclovir,famciclovir,0
valaciclovir,idoxuridine,0
valaciclovir,trifluridine,0
valaciclovir,ganciclovir,0
valaciclovir,foscarnet,0
valaciclovir,cidofovir,0
penciclovir,famciclovir,0
penciclovir,idoxuridine,0
penciclovir,trifluridine,0
penciclovir,ganciclovir,0
penciclovir,foscarnet,0
penciclovir,cidofovir,0
famciclovir,idoxuridine,0
famciclovir,trifluridine,0
famciclovir,ganciclovir,0
famciclovir,foscarnet,0
famciclovir,cidofovir,0
idoxuridine,trifluridine,0
idoxuridine,ganciclovir,0
idoxuridine,foscarnet,0
idoxuridine,cidofovir,0
trifluridine,ganciclovir,0
trifluridine,foscarnet,0
trifluridine,cidofovir,0
ganciclovir,foscarnet,0
ganciclovir,cidofovir,0
foscarnet,cidofovir,0
D-cycloserine,lidocaine,0
vincristine,cyclophosphamide,1
vincristine,actinomycin-D,1
cyclophosphamide,actinomycin-D,1
cyclophosphamide,vincristine,1
cyclophosphamide,prednisolone,1
cyclophosphamide,adriamycin,1
vincristine,prednisolone,1
vincristine,adriamycin,1
prednisolone,adriamycin,1
propranolol,amiodarone,0
Curcumin,Somatostatin,1
Curcumin,Quercetin,1
Somatostatin,Quercetin,1
moxifloxacin,tobramycin,1
cetuximab,nystatin,1
cetuximab,cetuximab,0
cetuximab,cetuximab,0
nystatin,cetuximab,0
nystatin,cetuximab,0
cetuximab,cetuximab,0
chenodeoxycholic,simvastatin,1
Paclitaxel,paclitaxel,0
Paclitaxel,anthracyclines,0
paclitaxel,anthracyclines,1
anastrozole,exemestane,0
anastrozole,letrozole,0
anastrozole,tamoxifen,0
exemestane,letrozole,0
exemestane,tamoxifen,0
letrozole,tamoxifen,0
rapamycin,doxorubicin,0
rapamycin,paclitaxel,0
rapamycin,MIS,1
rapamycin,AzadC,0
doxorubicin,paclitaxel,0
doxorubicin,MIS,1
doxorubicin,AzadC,0
paclitaxel,MIS,0
paclitaxel,AzadC,0
MIS,AzadC,1
ifosfamide,etoposide,0
paclitaxel,bevacizumab,1
topotecan,cladribine,0
topotecan,topotecan,0
cladribine,topotecan,1
cyclosporine,infliximab,0
curcumin,metformin,0
brodalumab,ustekinumab,0
mycophenolate,cyclophosphamide,0
mycophenolate,corticosteroids,1
mycophenolate,mofetil,0
cyclophosphamide,corticosteroids,1
cyclophosphamide,mofetil,0
corticosteroids,mofetil,1
cyclophosphamide,mitoxantrone,1
cyclophosphamide,paclitaxel,1
mitoxantrone,paclitaxel,1
flutamide,bicalutamide,1
paclitaxel,trastuzumab,1
aspirin,clopidogrel,1
apalutamide,enzalutamide,0
apalutamide,ADT,1
enzalutamide,ADT,1
betamethasone,beclomethasone,0
betamethasone,beclomethasone,0
betamethasone,methylprednisolone,0
betamethasone,budesonide,0
beclomethasone,beclomethasone,0
beclomethasone,methylprednisolone,0
beclomethasone,budesonide,0
beclomethasone,methylprednisolone,0
beclomethasone,budesonide,0
methylprednisolone,budesonide,0
Ixazomib,Fulvestrant,1
Ixazomib,Fulvestrant,0
Fulvestrant,Fulvestrant,0
Trastuzumab,Lapatinib,0
alemtuzumab,rituximab,1
alemtuzumab,alemtuzumab,0
rituximab,alemtuzumab,0
docetaxel,doxorubicin,0
docetaxel,paclitaxel,0
doxorubicin,paclitaxel,0
lidocaine,oxybutynin,0
risedronate,risedronate,0
risedronate,atorvastatin,0
risedronate,atorvastatin,1
ozogamicin,blinatumomab,0
bevacizumab,capecitabine,1
paclitaxel,carboplatin,1
exemestane,megestrol,0
exemestane,tamoxifen,0
megestrol,tamoxifen,0
clopidogrel,prasugrel,0
clopidogrel,ticagrelor,0
prasugrel,ticagrelor,0
